hip,magnitude,ra_degrees,dec_degrees,parallax_mas,ra_mas_per_year,dec_mas_per_year,ra_hours,epoch_year,x,y
25,6.28,0.07936537,-44.29029741,13.74,58.36,-108.64,0.005291024666666667,1991.25,5.047773792832371,0.37945753570909885
34,6.43,0.09946973,26.91823821,12.71,42.2,-53.47,0.006631315333333334,1991.25,0.5417612710076734,0.9995766001250995
43,6.18,0.129089,59.55973786,7.63,-80.6,-24.07,0.008605933333333335,1991.25,0.19250884357774697,0.6289120189058878
50,6.49,0.14287059,-53.09766277,16.89,52.98,-20.52,0.009524705999999999,1991.25,5.425908167869762,-1.901483377332931
63,6.36,0.1817495,45.25333305,4.81,17.38,0.22,0.012116633333333333,1991.25,0.3188815843376705,0.7769367448777762
88,5.71,0.26915958,-48.80985919,5.97,-17.92,-6.75,0.017943972,1991.25,5.43193085055251,-0.6862304984623823
106,6.22,0.33016464,49.98158501,4.5,13.29,-11.19,0.022010976,1991.25,0.27461603481020547,0.725083835346581
107,5.53,0.33380226,-50.33739907,5.84,7.34,10.59,0.022253484,1991.25,5.467131322565043,-1.1053201774630312
122,4.78,0.39937928,-77.06529438,14.77,-56.52,-176.95,0.026625285333333335,1991.25,0.9534613073290689,-3.7457635245045826
124,5.58,0.40424537,61.22280406,0.86,-2.8,-1.34,0.026949691333333334,1991.25,0.181026615002681,0.6117213602415003
128,6.5,0.41376473,73.61187664,15.2,75.54,-12.36,0.027584315333333335,1991.25,0.09474542410498284,0.49712207587428814
137,6.25,0.43268925,42.36714821,2.45,5.11,-1.77,0.028845950000000002,1991.25,0.35068947052522803,0.8071873098518819
145,5.13,0.45598912,-3.02747891,7.98,18.9,-10.25,0.030399274666666667,1991.25,1.256183047127889,1.456694925317359
154,4.37,0.48996506,-6.01397169,7.86,46.62,-41.32,0.032664337333333335,1991.25,1.3744236492236772,1.5065590423647242
171,5.8,0.54018776,27.08448905,80.63,778.59,-918.72,0.036012517333333334,1991.25,0.5444873048755855,0.9915125801807817
183,5.04,0.58297574,-29.72044805,6.4,9.66,14.0,0.03886504933333333,1991.25,3.055904810621791,1.6621282813139222
186,6.33,0.60069792,8.9568336,7.55,-0.87,-4.11,0.040046528,1991.25,0.8942714691189467,1.252724741635873
